30
30 2768
126 12 22
712 38 91
955 13 58
159 93 63
955 41 82
373 99 23
329 35 83
7 66 97
904 96 41
847 63 28
337 69 30
387 11 34
199 51 96
788 3 20
895 76 33
626 43 40
258 46 60
165 19 23
932 12 46
244 80 41
505 11 50
296 82 24
334 57 30
14756



39 3500
485 26 54
330 63 12
894 64 28
544 1 59
171 68 18
506 7 46
985 87 95
707 56 29
914 70 60
942 10 29
855 10 76
287 12 90
645 89 31
8 56 61
529 86 50
517 33 61
650 73 27
114 32 61
221 77 69
258 42 92
512 95 54
986 69 91
823 88 56
267 86 17
152 97 31
348 18 70
787 40 38
983 29 37
25 74 78
152 7 34
210 39 48
381 50 61
66 54 18
584 69 44
53 38 87
101 96 34
303 87 60
994 47 2
541 53 66
10160



33 19248
947 14 67
817 23 6
473 68 77
483 70 29
636 53 21
703 94 93
909 49 92
778 44 85
195 74 22
916 47 84
966 95 88
580 23 45
24 62 82
326 40 42
193 85 60
589 96 46
268 32 60
597 75 68
39 17 69
821 62 49
842 56 22
929 52 74
395 6 31
751 68 32
104 58 10
508 58 58
247 60 77
751 65 15
241 37 21
204 54 6
760 21 1
342 48 84
197 27 34
12677



47 3885
907 16 52
635 28 49
166 59 53
583 11 57
19 71 10
907 7 69
147 54 19
514 25 99
477 32 76
102 26 31
322 25 39
411 86 59
132 52 95
875 4 61
11 47 65
628 98 63
392 93 13
575 20 31
4 39 91
526 16 96
731 7 34
220 26 86
183 61 84
500 77 55
730 27 51
576 50 77
337 85 34
131 71 32
183 74 6
82 41 48
681 60 36
994 15 97
280 79 21
792 45 38
791 89 16
576 84 92
802 43 89
134 19 31
628 60 36
17 4 51
810 10 20
366 82 17
195 73 13
535 30 71
564 54 40
961 34 81
161 60 90
8715



32 5585
980 58 55
416 5 37
544 62 27
753 70 98
345 18 43
74 98 38
110 79 27
131 18 57
644 90 67
261 54 85
432 61 68
821 22 78
271 75 15
370 58 91
34 96 86
564 6 78
914 74 18
224 79 33
12 85 41
977 77 15
699 29 8
407 32 9
299 52 95
644 80 24
238 74 22
350 10 22
703 8 84
879 35 79
682 21 82
350 81 37
373 30 98
999 67 30
14583



46 12525
639 78 27
536 83 27
939 94 98
54 12 66
752 20 28
693 30 82
936 28 72
113 27 94
713 58 27
510 25 24
68 91 51
471 58 92
815 31 5
76 85 74
223 76 23
149 62 18
19 29 70
851 36 56
902 53 51
316 82 25
999 43 69
748 98 21
150 28 61
352 87 99
773 86 43
982 89 50
717 56 96
91 49 96
539 22 55
955 57 5
412 50 49
798 8 43
53 47 78
30 99 34
566 66 41
708 8 50
130 92 64
8 60 26
281 91 93
727 21 77
650 20 71
565 94 38
504 97 78
999 93 42
725 69 57
630 52 82
18639



41 16616
140 6 82
650 41 40
901 23 52
166 49 33
266 1 38
804 62 1
726 4 21
103 71 13
989 22 29
911 69 65
385 12 18
378 63 60
368 7 15
536 48 28
458 62 51
605 15 71
309 76 1
524 10 52
627 4 34
695 66 20
121 99 54
867 78 38
149 88 38
780 44 56
850 19 56
929 64 10
619 39 7
567 60 92
645 86 2
659 75 59
265 67 40
958 42 49
734 59 83
137 46 27
336 53 33
441 67 91
961 70 39
238 8 28
123 55 39
613 22 92
361 49 14
10988



45 10306
763 17 89
774 7 20
55 26 48
928 80 23
75 60 21
188 11 70
53 20 3
596 13 83
862 10 13
368 91 77
967 13 55
14 56 28
782 14 89
504 34 97
594 35 32
322 31 2
18 73 26
792 9 59
488 17 4
56 91 96
73 68 34
707 96 68
682 7 4
926 41 97
805 55 86
50 1 78
520 54 78
109 35 19
520 18 5
963 52 40
243 72 23
923 43 65
637 88 39
636 64 25
977 9 33
286 98 53
723 44 17
256 54 37
183 96 34
156 19 78
634 72 54
639 68 68
746 88 12
211 41 12
395 88 90
15774



40 2620
261 85 24
189 51 24
87 23 98
191 85 74
467 32 48
699 60 1
921 71 34
408 65 54
106 42 51
27 5 86
652 47 65
833 8 30
953 60 13
479 45 41
696 49 89
141 65 89
931 42 79
881 97 82
792 85 21
695 9 10
727 6 18
128 54 38
95 63 24
185 74 1
879 44 27
930 71 16
645 96 76
618 10 63
66 77 49
826 5 22
88 26 51
28 75 39
227 57 94
512 5 2
653 74 67
792 1 54
555 86 14
50 5 12
331 11 96
546 7 77
4696



47 5355
593 2 10
489 49 85
690 87 70
144 21 14
918 75 96
349 96 28
767 95 27
179 9 4
209 40 69
643 42 68
506 18 62
778 42 63
650 18 30
151 84 68
159 99 83
915 20 58
144 62 58
789 1 93
995 42 93
59 28 10
156 5 45
23 64 4
513 14 33
332 70 78
970 62 11
594 2 9
200 29 20
114 50 80
102 72 18
685 78 1
695 59 90
209 99 80
226 14 36
807 40 6
258 81 91
794 82 39
827 40 40
855 86 98
898 5 55
645 92 92
852 82 36
317 63 11
885 76 62
310 37 88
722 39 89
136 85 68
889 31 90
3691



45 17148
381 61 84
731 91 31
953 25 58
215 44 95
575 70 94
177 81 90
58 76 52
34 51 14
467 10 76
187 86 75
614 2 6
970 97 70
797 38 97
451 67 7
788 67 28
438 32 43
913 51 8
398 84 4
340 35 10
706 27 81
548 76 39
823 60 42
895 60 72
238 38 43
936 61 10
457 25 84
853 3 78
329 27 36
678 22 18
29 63 63
603 9 12
156 90 90
674 96 7
858 54 71
708 67 13
644 46 24
936 88 11
257 85 24
35 22 49
33 15 39
244 86 97
97 63 29
322 78 70
194 78 28
776 99 49
15748



31 12405
596 23 4
754 94 10
747 53 35
238 87 13
684 41 64
819 68 61
675 73 61
42 84 32
680 53 74
101 82 48
859 75 96
599 89 81
113 63 30
775 23 57
289 6 45
660 2 78
141 46 10
379 81 34
9 55 38
711 8 41
349 64 70
865 38 13
159 9 51
833 71 6
314 90 51
43 75 79
876 3 51
956 96 36
387 48 93
628 59 34
426 40 56
15962



47 8533
581 86 42
673 32 50
934 28 31
753 5 7
912 82 96
802 59 83
53 89 39
685 34 48
898 19 53
494 17 41
306 49 42
473 92 18
330 12 56
519 58 68
654 61 35
416 3 80
625 54 83
567 50 99
35 89 52
945 77 13
971 44 11
899 45 55
642 44 89
788 47 48
276 53 32
712 4 73
135 48 17
727 87 62
576 74 98
427 44 4
655 39 34
430 55 14
569 75 16
794 77 59
907 83 7
356 29 97
680 32 86
787 81 29
964 25 57
485 32 71
561 22 1
862 14 9
135 84 98
176 15 28
574 34 71
578 82 4
558 22 45
10955



30 14923
117 17 86
574 5 47
304 57 9
432 45 24
559 58 5
703 98 22
445 98 50
179 59 22
471 58 39
424 54 92
103 26 54
469 88 69
265 51 9
382 68 60
59 84 13
107 15 99
774 33 58
999 1 4
241 93 58
655 11 47
79 88 4
158 33 19
689 9 70
353 44 47
136 7 31
900 12 74
91 37 44
393 65 21
350 11 26
513 23 94
6851



32 12184
411 62 30
801 57 90
515 93 42
60 30 42
890 12 86
939 72 34
818 83 56
738 4 68
230 82 80
227 93 18
861 75 24
830 6 52
761 50 33
218 23 16
947 38 10
229 32 24
239 32 78
886 13 28
45 67 59
616 57 74
94 29 99
242 20 54
180 6 6
348 18 22
14 60 61
405 79 65
587 1 51
570 98 61
388 97 63
968 78 38
926 15 93
581 13 94
11261



33 14114
177 56 5
258 18 89
139 57 87
527 66 64
882 93 3
570 24 52
300 38 85
224 91 21
275 67 42
35 29 43
476 66 25
86 48 3
952 25 39
97 48 82
102 10 31
146 50 99
117 36 34
601 64 78
852 95 65
836 98 51
470 11 28
441 6 99
397 79 46
2 62 99
136 21 90
32 13 81
908 13 18
428 91 92
91 87 3
464 24 53
380 12 27
881 63 37
545 66 5
13335



36 14977
702 54 12
744 35 47
440 87 82
830 83 92
853 33 5
187 35 35
176 97 93
564 93 62
501 72 26
576 53 49
463 76 60
381 47 89
803 19 74
409 58 59
413 69 55
189 41 55
585 19 20
310 87 33
816 14 61
492 25 63
212 86 34
334 37 7
324 47 86
151 38 17
610 76 39
342 16 24
77 31 31
705 99 35
290 16 89
274 56 34
286 31 94
112 20 72
253 8 33
476 86 94
688 44 80
31 70 11
8821



48 9493
987 37 42
931 32 51
872 98 5
216 18 5
908 53 86
72 23 50
569 67 9
74 91 60
447 37 2
556 55 26
453 78 33
90 35 91
895 1 79
690 85 27
34 12 30
815 4 17
570 73 80
201 54 28
386 91 46
815 48 95
490 32 44
785 76 39
718 82 18
949 18 22
707 88 82
824 4 80
302 63 33
855 98 81
455 26 25
57 70 43
454 8 52
838 20 53
823 25 35
905 10 22
981 62 55
586 49 66
456 56 87
663 51 85
619 63 33
623 33 51
145 66 12
747 50 10
694 87 68
286 1 79
449 40 53
118 87 37
263 86 76
590 60 15
10384



41 15825
568 67 22
566 21 20
917 84 76
436 11 24
125 46 89
624 98 17
561 9 22
117 32 50
761 96 36
462 75 55
61 97 19
704 53 3
649 12 9
801 87 61
636 10 2
638 24 80
976 14 61
430 58 48
577 45 35
718 80 24
839 46 10
206 38 13
47 42 93
869 97 86
88 76 21
605 48 22
485 13 72
556 49 61
945 63 39
711 13 8
671 93 31
843 96 42
518 43 72
888 59 82
873 11 16
741 34 82
269 97 97
132 24 68
517 29 97
478 26 74
736 34 30
10442



47 3950
44 56 25
799 79 9
51 50 60
531 90 68
379 45 21
288 57 44
155 11 54
698 63 33
678 45 4
170 97 16
256 53 2
909 12 18
100 3 48
885 92 63
636 15 62
601 59 3
57 46 17
893 14 75
658 35 93
917 12 34
47 88 52
445 28 37
663 47 34
23 19 55
965 27 19
903 7 48
708 8 85
15 12 52
986 36 39
272 25 77
247 19 90
135 84 4
119 19 87
247 93 13
691 4 27
616 92 87
562 75 28
458 21 5
486 4 77
994 46 91
980 39 22
561 77 1
648 83 43
148 78 87
601 46 14
736 33 8
253 37 44
6364



40 14190
498 49 79
973 85 65
806 27 13
732 96 27
545 90 13
259 27 96
97 44 41
969 41 85
747 90 75
708 69 74
89 48 46
682 72 7
985 4 79
182 62 87
661 14 64
195 59 83
194 82 98
403 34 9
296 53 8
933 23 95
898 10 58
382 64 49
808 86 19
59 28 23
177 91 81
535 31 27
218 55 31
917 51 87
753 68 14
375 39 19
990 6 80
836 29 53
300 28 50
152 39 73
649 14 55
757 23 42
271 76 22
808 71 67
646 98 58
707 63 95
7395



36 8683
476 99 7
222 43 34
631 29 24
30 77 7
167 58 27
379 33 99
460 71 11
626 97 19
335 14 19
303 94 59
650 54 80
952 26 66
67 33 33
885 79 98
525 19 4
651 51 7
713 21 38
633 50 63
330 85 2
886 88 29
151 33 34
642 38 24
262 22 32
609 31 1
663 57 92
120 11 78
152 68 62
121 59 74
213 2 4
170 62 41
639 18 44
41 73 46
641 88 81
791 39 30
749 11 89
379 96 92
7115



44 4211
748 24 73
202 67 3
740 60 43
362 20 10
593 91 97
132 56 62
840 46 48
218 97 36
295 33 37
486 84 83
48 12 46
411 66 40
446 24 37
705 72 4
454 45 59
297 70 83
134 76 81
347 9 26
732 53 27
375 90 34
657 26 76
595 32 9
634 18 26
569 68 33
251 14 73
442 76 52
767 99 63
537 35 9
20 70 4
205 68 13
135 7 33
38 5 47
279 86 14
509 66 52
579 56 8
486 10 94
517 29 76
745 61 91
703 12 90
672 58 61
48 43 50
129 43 61
1 22 9
267 17 90
3573



37 5168
335 12 95
788 2 53
605 9 69
390 36 39
463 42 34
928 57 61
284 52 46
233 2 45
131 46 49
883 86 25
126 86 36
349 57 59
161 12 66
43 1 95
742 12 77
45 16 58
878 16 70
557 62 86
796 11 10
509 66 55
49 72 23
437 27 50
32 12 84
744 77 45
944 24 51
503 49 90
682 9 31
904 1 70
551 57 24
493 55 47
494 65 46
113 99 29
730 31 84
272 2 4
737 14 39
247 61 38
351 29 61
5043



